#read_id	perc_id	species	kingdom
002c8c71-9306-47c3-8f46-885ae341bf3a	78.261	Thamnophis sirtalis	Eukaryota
003ab2cb-b41d-453c-820b-0429a9a8e1f1	88.235	Macropanesthia mutica	Eukaryota
0040cdd7-5f38-4091-8d5e-cfd1b5632df4	74.836	Diploptera punctata	Eukaryota
00a96135-b8fa-4b7e-9bb7-81afd3261958	87.234	Egle steini	Eukaryota
01bafd4c-2dbb-4549-8f2b-a7484937dce2	75.758	Diploptera punctata	Eukaryota
01e43899-ab26-4c99-9408-79492dd55670	85.435	Serratia quinivorans	Bacteria
020f32f7-1742-4e7e-a06a-43cc7f4d0b59	93.182	Nasutitermes longinasus	Eukaryota
0270059a-892f-4661-81a8-3f8107f02bff	73.882	Diploptera punctata	Eukaryota
027e0413-4503-4c77-894e-acfe65f14918	100.000	Oryzias latipes	Eukaryota
032da2f7-0ddf-490e-a82e-2e2419c085d4	84.337	Zootermopsis nevadensis	Eukaryota
049a8afe-2433-49f6-a1a5-8206bb549457	73.548	Diploptera punctata	Eukaryota
058d8059-1914-48cc-b369-67dd25b554aa	89.855	Blattabacterium cuenoti BPAA	Bacteria
05b6a5df-c912-49ce-bc5c-41cb6b751b68	95.312	Panesthia cribrata	Eukaryota
06375699-9894-43fc-bf17-3351f7b4674e	86.821	Centruroides sculpturatus	Eukaryota
0649e15b-dd4f-4fc9-8c52-7ee765fc63dd	73.728	Blaptica dubia	Eukaryota
064d68f3-956d-4dd0-9fc3-422e0c9a301b	86.542	Panesthia cribrata	Eukaryota
066da9d6-99cb-4f36-86e1-33ce854cc93c	100.000	Plasmodium sp. gorilla clade G2	Eukaryota
06b1868d-f83f-4beb-ab47-a3a020f501f7	81.818	Manticora tibialis	Eukaryota
06d569bc-a92f-454e-b71a-614488dc9f19	81.176	Deronectes persicus	Eukaryota
06fb556e-3508-466a-860d-b19c0c92f629	94.872	Periplaneta americana	Eukaryota
076f0c9f-bd08-4591-abf9-6eff571690fc	84.444	Cecidomyiidae sp. BOLD:ACI5256	Eukaryota
07a0f960-fc65-4b4e-8768-439fa5d1f989	97.143	Denticeps clupeoides	Eukaryota
07b03785-45c5-4164-b6e6-40159f4f440e	78.571	Macromia daimoji	Eukaryota
07d2307d-bf0d-45ea-8005-f7ec9d851177	87.000	Xylobanus sp. UPOL A00094	Eukaryota
08155a87-f763-442e-86bc-e65c49405fee	76.316	Diploptera punctata	Eukaryota
084e29f7-6bf5-4d0c-88be-6a2c2119c266	86.538	Vigna angularis var. angularis	Eukaryota
09637931-6bd3-4c8f-b1b6-b980a87fbf14	87.912	Caluromys philander	Eukaryota
09d6c6db-dc6f-46a4-a1a5-809ac443d074	73.401	Diploptera punctata	Eukaryota
0a0a2f38-2a45-49a1-831d-f27fa7a4b1dc	73.150	Diploptera punctata	Eukaryota
0a495d38-2f5c-4b48-b9a0-c3220bc9c086	77.049	Solenopsis invicta	Eukaryota
0a8621ec-3b02-486c-af05-5544ba4da7be	92.857	Rattus norvegicus	Eukaryota
0a9f99cb-681f-496b-8e40-95c40d5d3bcc	83.182	Zootermopsis nevadensis	Eukaryota
0b346453-e183-4417-acba-11f011c41412	75.157	Diploptera punctata	Eukaryota
0ba1b543-9a62-4c26-a59a-f0ae81cc33c2	75.543	Aedes albopictus	Eukaryota
0c20fa1a-9ac3-4343-ab53-6513fda63693	91.463	Blattella germanica	Eukaryota
0c29b844-db94-4eec-a0bd-9cf377440a7a	90.769	Zootermopsis nevadensis	Eukaryota
0c9ff547-b402-44a8-a687-61521281c843	88.000	Trachymyrmex zeteki	Eukaryota
0d5172ce-b4d0-4ab5-8da2-907d5dbad90a	83.282	Blattabacterium cuenoti BPAY	Bacteria
0df09129-abd0-4e08-8a31-ee43203b9884	83.721	Centruroides sculpturatus	Eukaryota
0e4e6142-9fd7-44b3-b838-88e5afa7252f	90.278	Plutella xylostella	Eukaryota
0e645710-38f8-4f0e-ae8c-b158f3a2e0d2	71.658	Dermatobia hominis	Eukaryota
0e979939-7622-440b-9c64-13515553c969	83.718	Centruroides sculpturatus	Eukaryota
0ef73051-a63f-439e-8d7a-a53fe9605caa	100.000	Larimichthys crocea	Eukaryota
0f72577e-d876-49e1-a50c-23d0975565d1	79.994	Bacillus wiedmannii bv. thuringiensis	Bacteria
0f760081-1016-4809-bc34-2d20cc16efb3	84.348	Diploptera punctata	Eukaryota
0f94830a-694a-4544-be44-5a85fa11fef8	85.013	Panesthia cribrata	Eukaryota
0fb0378c-8f1d-45cf-a7b0-a15468770a65	89.552	Panesthia sp. QPa1	Eukaryota
103ab3c0-9bdd-48b3-8cd0-c95419735c86	89.071	Blattabacterium cuenoti BPAY	Bacteria
103ec554-eb8d-4e76-b9cf-cc4eb0a505d0	88.000	Vitis vinifera	Eukaryota
10e32c92-d4b0-49d4-b09d-ee11ebc52b1e	75.801	Diploptera punctata	Eukaryota
111ec685-b14a-4c9b-870b-12acf5e19d2a	88.000	Lupinus angustifolius	Eukaryota
111f77aa-4c00-463d-b2e1-b3ce9759bb79	74.747	Diploptera punctata	Eukaryota
1128c63d-32a8-467d-93ac-77d14a03a411	74.065	Diploptera punctata	Eukaryota
116fd1d5-dbee-4e40-b396-2d14d74bc9ad	100.000	Cyprinus carpio	Eukaryota
122d04b6-9ea8-4495-9e6a-f6cfa5e8314f	87.395	Panesthia australis	Eukaryota
1339e99d-f6f7-4edf-87e7-cbc5c7b0324b	74.864	Diploptera punctata	Eukaryota
13ee252c-732e-4bf2-9710-dc51886dcd97	100.000	Brassica oleracea	Eukaryota
14003d35-c80c-4d52-b590-85f4c1538ae9	100.000	Danio rerio	Eukaryota
143c1d67-58e2-4b8c-b629-425f14fde00a	94.737	Acinetobacter baumannii	Bacteria
144b8233-ffbe-430f-9ac4-4c72cf197f1d	83.333	Cecidomyiidae sp. BIOUG20087-A03	Eukaryota
149e85fd-9aa8-4cbf-99eb-047d45630295	79.944	Centruroides sculpturatus	Eukaryota
150ff3e8-4230-49c1-9204-6c29860052b2	91.304	Zootermopsis nevadensis	Eukaryota
16d05cf4-5312-4d74-839c-1fda5c5896a5	100.000	Cryptotermes secundus	Eukaryota
16d111c7-f7da-4905-9b53-ca43814071ce	74.713	Diploptera punctata	Eukaryota
16ff75af-d6bf-41b8-9d74-6247df99e92f	73.298	Diploptera punctata	Eukaryota
17245a54-9d2c-4522-88c3-f162c3a5e3fb	94.737	Cryptotermes secundus	Eukaryota
1759416f-5c2e-470c-b951-5f4c6b2173a1	89.796	Panesthia sp. 2 FL-2017	Eukaryota
17705671-73b8-4480-9e8d-ac4eab559b82	84.293	Blattella bisignata	Eukaryota
17b0762b-5417-4bbe-9971-2c060ff509c4	84.058	Tyrrhenoleuctra sp. TYCO-01	Eukaryota
17e12a9d-c3ca-49aa-bc7c-8255a93a0e4f	92.135	Panesthia matthewsi	Eukaryota
18213f72-aeab-4ab0-bf12-bfe97cebec73	80.665	Gromphadorhina laevigata	Eukaryota
1874ee03-63ba-4195-a43a-769496c6fa38	74.830	Arabidopsis thaliana	Eukaryota
190854a2-954a-4e17-8422-762ff84e9bae	93.182	Pieris rapae	Eukaryota
19206628-925a-4d53-9d75-15ebbfa92c10	77.358	Diploptera punctata	Eukaryota
194d8d2b-53d4-4d19-ada2-9d9f0a8d820a	83.781	Blattabacterium cuenoti BPAA	Bacteria
1a3ccd52-db20-4aab-91c5-1b4ec909b22c	100.000	Danio rerio	Eukaryota
1a7f0307-992d-4fd0-ab6a-a4c496f700bd	83.283	Gromphadorhina laevigata	Eukaryota
1ab9e8c3-d682-4b83-a090-b88954a16c15	100.000	Anabas testudineus	Eukaryota
1ca69e98-39ca-4bde-9f02-5c49f23f3444	83.082	Centruroides sculpturatus	Eukaryota
1d073591-0295-4db0-814a-a39c23458e67	76.476	Anopheles guarani	Eukaryota
1d5c6ba6-2c1b-4871-9985-86185c16b408	87.919	Panesthia cribrata	Eukaryota
1d8ba19b-bf0a-4077-84f4-937c8d68789b	74.526	Opisthoplatia orientalis	Eukaryota
1e580a31-f886-463d-a9ce-6080d8b33f83	90.164	Zootermopsis nevadensis	Eukaryota
1f696e4a-ba86-4cc7-9e42-c076c36de7fa	72.636	Zootermopsis nevadensis	Eukaryota
1f8490c6-ddbf-4a36-b1aa-09208adfbeea	80.791	Cryptotermes secundus	Eukaryota
1fbe24a6-5e45-4a55-a3f6-76055a266f7c	73.394	Opisthoplatia orientalis	Eukaryota
2006659e-8175-4ed9-b897-5d78fb9155b5	88.235	Panesthia saussurii	Eukaryota
202a9c5c-f6b8-4ced-a203-41b5cd36e9ab	88.764	Panesthia cribrata	Eukaryota
2134b7ee-075c-4e98-af85-a048eeee5d78	75.800	Diploptera punctata	Eukaryota
223a303e-92b6-4824-8ced-c73f6561f740	100.000	Diaphorina citri	Eukaryota
2257227b-9fe5-4514-967a-c35d5416b8b0	76.602	Bacillus atticus	Eukaryota
22761de0-b8d0-466b-acc5-293941373e1c	83.929	Zootermopsis nevadensis	Eukaryota
228364a4-f222-48d0-977e-1e077f53bca4	100.000	Cryptotermes secundus	Eukaryota
228dc4aa-932e-4edd-ae05-a41731175d5d	93.333	Panesthia lata	Eukaryota
228fcc84-98f6-41ea-8e6d-d3d53d5fff73	74.186	Diploptera punctata	Eukaryota
22c3a5e5-1aed-4f2d-8232-67785189eb1e	100.000	Danio rerio	Eukaryota
23446984-fb24-4b82-a046-233ededf9835	100.000	Rhopalosiphum maidis	Eukaryota
23b7b604-af12-45b1-931f-16801daf0344	80.156	Diploptera punctata	Eukaryota
23d0243e-f7d3-4a9b-b892-fb37f0ad407e	89.855	Phacochoerus africanus	Eukaryota
24090b62-c2a9-4795-b6bc-557689c90b1a	80.556	Diploptera punctata	Eukaryota
24616c39-91d4-4262-b597-8851a59ad598	78.846	Onthophagus taurus	Eukaryota
24ffd307-3b8b-495b-af8d-3d4b14ac21f1	94.872	Danio rerio	Eukaryota
254113b2-6a2f-404b-9c2e-4f4a6e30e78e	83.436	Cryptotermes secundus	Eukaryota
256d8415-a56b-4b3d-898c-c494ed921507	96.970	Melanaphis sacchari	Eukaryota
25e78c9b-3206-431c-954b-dc0b5b39c1a8	78.800	Diploptera punctata	Eukaryota
2618bc51-376a-405d-890c-ce793ad31ecc	81.564	Diploptera punctata	Eukaryota
2637e4ba-a0e8-4b3a-9a82-a8b00b7c555a	87.281	Nauphoeta cinerea	Eukaryota
26acb3c2-a858-4a52-bb42-ed5b14491c4b	92.703	Panesthia cribrata	Eukaryota
26c299b8-11be-4255-8f5d-12955eade2d4	95.082	Panesthia cribrata	Eukaryota
27616c13-69eb-4663-8a94-86cb4f4e471f	72.860	Contacyphon sp. BT0012	Eukaryota
276e3e6e-85a4-4920-b4a8-ec640d4a663e	87.313	Panesthia cribrata	Eukaryota
27b4fbf3-c919-4f3e-9b6d-58c955e241a3	100.000	Zootermopsis nevadensis	Eukaryota
27cbdccd-1b34-4dc6-ab38-e95130c061f9	100.000	Brassica rapa	Eukaryota
2873464f-3bb4-41f2-a8e5-ed6adfa50f60	100.000	Strongyloides stercoralis	Eukaryota
